Country Name,Country Code,Birth rate,Continent,,Pop  2024,Density,Interenet  user,Income group
Botswana,BWA,25.267,Africa,,2719694,4.7989,15,Upper middle income
Central African Republic,CAF,34.076,Africa,,5915627,9.4957,3.5,Low income
Canada,CAN,10.9,North America,,39107046,4.3619,85.8,High income
Switzerland,CHE,10.2,Europe,,8851431,223.9961,86.34,High income
Chile,CHL,13.385,South America,,19658839,26.4398,66.5,High income
China,CHN,12.1,Asia,,1425178782,151.2174,45.8,Upper middle income
Cote d'Ivoire,CIV,37.32,Africa,,29603302,93.0921,8.4,Lower middle income
Cameroon,CMR,37.236,Africa,,29394433,62.1828,6.4,Lower middle income
Congo,COG,37.011,Africa,,105625114,46.5914,6.6,Lower middle income
Colombia,COL,16.076,South America,,52340774,47.1751,51.7,Upper middle income
Comoros,COM,34.326,Africa,,867605,466.2037,6.5,Low income
Cape Verde,CPV,21.625,Africa,,604461,149.8788,37.5,Lower middle income
Costa Rica,CRI,15.022,North America,,5246714,102.7559,45.96,Upper middle income
Cuba,CUB,10.4,North America,,11174587,107.655,27.93,Upper middle income
Cayman Islands,CYM,12.5,North America,,69885,291.1875,74.1,High income
Cyprus,CYP,11.436,Europe,,1268467,137.28,65.4548,High income
Czech Republic,CZE,10.2,Europe,,10503734,136.0614,74.1104,High income
Germany,DEU,8.5,Europe,,83252474,238.2795,84.17,High income
Djibouti,DJI,25.486,Africa,,1152329,49.7122,9.5,Lower middle income
Denmark,DNK,10,Europe,,5939695,148.4924,94.6297,High income
Dominican Republic,DOM,21.198,North America,,11434005,236.6799,45.9,Upper middle income
Algeria,DZA,24.738,Africa,,46278751,19.4306,16.5,Upper middle income
Ecuador,ECU,21.07,South America,,18377367,73.9949,40.35368423,Upper middle income
Egypt,EGY,28.032,Africa,,114484252,115.0075,29.4,Lower middle income
Eritrea,ERI,34.8,Africa,,3817651,31.5402,0.9,Low income
Spain,ESP,9.1,Europe,,47473373,95.031,71.635,High income
Estonia,EST,10.3,Europe,,1319041,30.8548,79.4,High income
Ethiopia,ETH,32.925,Africa,,129719719,114.9415,1.9,Low income
Finland,FIN,10.7,Europe,,5549886,18.2598,91.5144,High income
Fiji,FJI,20.463,Oceania,,943072,51.6186,37.1,Upper middle income
France,FRA,12.3,Europe,,64881830,118.4933,81.9198,High income
Micronesia,FSM,23.511,Oceania,,116300,166.1429,27.8,Lower middle income
Gabon,GAB,30.555,Africa,,2484557,9.6424,9.2,Upper middle income
United Kingdom,GBR,12.2,Europe,,67961439,280.9136,89.8441,High income
Georgia,GEO,13.332,Europe,,3717425,53.4958,43.3,Lower middle income
Ghana,GHA,33.131,Africa,,34777522,152.8461,12.3,Lower middle income
Guinea,GIN,37.337,Africa,,14528770,59.1273,1.6,Low income
Gambia,GMB,42.525,Africa,,2841803,280.8106,14,Low income
Guinea-Bissau,GNB,37.503,Africa,,2197149,78.1347,3.1,Low income
Equatorial Guinea,GNQ,35.362,Africa,,1754993,62.5666,16.4,High income
Greece,GRC,8.5,Europe,,10302720,79.928,59.8663,High income
Grenada,GRD,19.334,North America,,126887,373.1971,35,Upper middle income
Greenland,GRL,14.5,North America,,56789,0.1384,65.8,High income
Guatemala,GTM,27.465,North America,,18358430,171.3179,19.7,Lower middle income
Guam,GUM,17.389,Oceania,,174114,322.4333,65.4,High income
Guyana,GUY,18.885,South America,,819594,4.1635,35,Lower middle income
Hong Kong,HKG,7.9,Asia,,7496681,7139.6962,74.2,High income
Honduras,HND,21.593,North America,,10759406,96.1606,17.8,Lower middle income
Croatia,HRV,9.4,Europe,,3986627,71.2407,66.7476,High income
Haiti,HTI,25.345,North America,,11867030,430.5889,10.6,Low income
Hungary,HUN,9.2,Europe,,9994993,109.5222,72.6439,High income
Indonesia,IDN,20.297,Asia,,279798049,149.0254,14.94,Lower middle income
India,IND,20.291,Asia,,1441719852,484.9067,15.1,Lower middle income
Ireland,IRL,15,Europe,,5089478,73.8783,78.2477,High income
Iran,IRN,17.9,Asia,,89809781,55.3527,29.95,Upper middle income
Iraq,IRQ,31.093,Asia,,46523657,107.1658,9.2,Upper middle income
Iceland,ISL,13.4,Europe,,377689,3.7458,96.5468,High income
Israel,ISR,21.3,Asia,,9311652,430.2982,70.8,High income
Italy,ITA,8.5,Europe,,58697744,198.493,58.4593,High income
Jamaica,JAM,13.54,North America,,2824738,260.8253,37.1,Upper middle income
Jordan,JOR,27.046,Asia,,11384922,128.2172,41,Upper middle income
Japan,JPN,8.2,Asia,,122631432,336.4374,89.71,High income
Kazakhstan,KAZ,22.73,Asia,,19828165,7.3446,54,Upper middle income
Kenya,KEN,35.194,Africa,,56203030,98.7508,39,Lower middle income
Kyrgyzstan,KGZ,27.2,Asia,,6839606,35.6601,23,Lower middle income
Cambodia,KHM,24.462,Asia,,17121847,96.9966,6.8,Low income
Kiribati,KIR,29.044,Oceania,,135763,167.6086,11.5,Lower middle income
South Korea,KOR,8.6,Asia,,51741963,530.1431,84.77,High income
Kuwait,KWT,20.575,Asia,,4349380,244.073,75.46,High income
Laos,LAO,27.051,Asia,,7736681,33.5211,12.5,Lower middle income
Lebanon,LBN,13.426,Asia,,5219044,510.1705,70.5,Upper middle income
Liberia,LBR,35.521,Africa,,5536949,57.4849,3.2,Low income
Libya,LBY,21.425,Africa,,6964197,3.958,16.5,Upper middle income
St. Lucia,LCA,15.43,North America,,180805,296.4016,46.2,Upper middle income
Liechtenstein,LIE,9.2,Europe,,39822,248.8875,93.8,High income
Sri Lanka,LKA,17.863,Asia,,21949268,354.8217,21.9,Lower middle income
Lesotho,LSO,28.738,Africa,,2356083,77.6048,5,Lower middle income
Lithuania,LTU,10.1,Europe,,2692798,43.0022,68.4529,High income
Luxembourg,LUX,11.3,Europe,,661594,256.9796,93.7765,High income
Latvia,LVA,10.2,Europe,,1810240,29.0895,75.2344,High income
China,MAC,11.256,Asia,,1425178782,151.2174,45.8,Upper middle income
Morocco,MAR,21.023,Africa,,38211459,85.6183,56,Lower middle income
Moldova,MDA,12.141,Europe,,3329865,101.2591,45,Lower middle income
Madagascar,MDG,34.686,Africa,,31056610,53.3802,3,Low income
Maldives,MDV,21.447,Asia,,517887,1726.29,44.1,Upper middle income
Mexico,MEX,19.104,North America,,129388467,66.5596,43.46,Upper middle income
Macedonia,MKD,11.222,Europe,,2082706,82.5815,65.24,Upper middle income
Mali,MLI,44.138,Africa,,24015789,19.682,3.5,Low income
Malta,MLT,9.5,Europe,,536740,1677.3125,68.9138,High income
Myanmar,MMR,18.119,Asia,,54964694,84.2151,1.6,Lower middle income
Montenegro,MNE,11.616,Europe,,626102,46.5503,60.31,Upper middle income
Mongolia,MNG,24.275,Asia,,3493629,2.2431,20,Upper middle income
Mozambique,MOZ,39.705,Africa,,34858402,44.3277,5.4,Low income
Mauritania,MRT,33.801,Africa,,4993922,4.8452,6.2,Lower middle income
Mauritius,MUS,10.9,Africa,,1301978,641.3685,39,Upper middle income
Malawi,MWI,39.459,Africa,,21475962,227.7892,5.05,Low income
Malaysia,MYS,16.805,Asia,,34671895,105.53,66.97,Upper middle income
Namibia,NAM,29.937,Africa,,2645805,3.2137,13.9,Upper middle income
New Caledonia,NCL,17,Oceania,,295966,16.1907,66,High income
Niger,NER,49.661,Africa,,28238972,22.2933,1.7,Low income
Nigeria,NGA,40.045,Africa,,229152217,251.6027,38,Lower middle income
Nicaragua,NIC,20.788,North America,,7142529,59.3529,15.5,Lower middle income
Netherlands,NLD,10.2,Europe,,17671125,524.8329,93.9564,High income
Norway,NOR,11.6,Europe,,5514477,15.1378,95.0534,High income
Nepal,NPL,20.923,Asia,,31240315,217.9303,13.3,Low income
New Zealand,NZL,13.12,Oceania,,5269939,20.0142,82.78,High income
Oman,OMN,20.419,Asia,,4713553,15.2296,66.45,High income
Pakistan,PAK,29.582,Asia,,245209815,318.0908,10.9,Lower middle income
Panama,PAN,19.68,North America,,4527961,61.0402,44.03,Upper middle income
Peru,PER,20.198,South America,,34683444,27.0964,39.2,Upper middle income
Philippines,PHL,23.79,Asia,,119106224,399.4574,37,Lower middle income
Papua New Guinea,PNG,28.899,Oceania,,10515788,23.2208,6.5,Lower middle income
Poland,POL,9.6,Europe,,40221726,131.3877,62.8492,High income
Puerto Rico,PRI,10.8,North America,,3268802,368.5233,73.9,High income
Portugal,PRT,7.9,Europe,,10223349,111.6018,62.0956,High income
Paraguay,PRY,21.588,South America,,6947270,17.4862,36.9,Upper middle income
French Polynesia,PYF,16.393,Oceania,,311383,89.7099,56.8,High income
Qatar,QAT,11.94,Asia,,2737061,238.2124,85.3,High income
Romania,ROU,8.8,Europe,,19618996,85.2703,49.7645,Upper middle income
Russia,RUS,13.2,Asia,,143957079,8.7903,67.97,High income
Rwanda,RWA,32.689,Africa,,14414910,584.3093,9,Low income
Saudi Arabia,SAU,20.576,Asia,,37473929,17.4322,60.5,High income
Sudan,SDN,33.477,Africa,,49358228,26.423,22.7,Lower middle income
Senegal,SEN,38.533,Africa,,18221567,94.6427,13.1,Lower middle income
Singapore,SGP,9.3,Asia,,6052709,8429.9568,81,High income
Solomon Islands,SLB,30.578,Oceania,,756673,27.0337,8,Lower middle income
Sierra Leone,SLE,36.729,Africa,,8977972,124.3831,1.7,Low income
El Salvador,SLV,17.476,North America,,6396289,308.7012,23.1093,Lower middle income
Somalia,SOM,43.891,Africa,,18706922,29.8194,1.5,Low income
Serbia,SRB,9.2,Europe,,7097028,81.146,51.5,Upper middle income
South Sudan,SSD,37.126,Africa,,11277092,17.8455,14.1,Low income
Sao Tome and Principe,STP,34.537,Africa,,236381,246.2302,23,Lower middle income
Suriname,SUR,18.455,South America,,628785,4.0307,37.4,Upper middle income
Slovakia,SVK,10.1,Europe,,5702832,116.3013,77.8826,High income
Slovenia,SVN,10.2,Europe,,2118965,105.2306,72.6756,High income
Sweden,SWE,11.8,Europe,,10673669,26.207,94.7836,High income
Swaziland,SWZ,30.093,Africa,,1222075,71.0509,24.7,Lower middle income
Seychelles,SYC,18.6,Africa,,108263,235.3543,50.4,High income
Syria,SYR,24.043,Asia,,24348053,132.593,26.2,Lower middle income
Chad,TCD,45.745,Africa,,18847148,14.9676,2.3,Low income
Togo,TGO,36.08,Africa,,9260864,170.2678,4.5,Low income
Thailand,THA,11.041,Asia,,71885799,140.707,28.94,Upper middle income
Tajikistan,TJK,30.792,Asia,,10331513,74.4399,16,Lower middle income
Turkmenistan,TKM,21.322,Asia,,6598071,14.0405,9.6,Upper middle income
Timor-Leste,TLS,35.755,Asia,,1379883,92.7964,1.1,Lower middle income
Tonga,TON,25.409,Oceania,,108683,150.9486,35,Upper middle income
Trinidad and Tobago,TTO,14.59,North America,,1538200,299.8441,63.8,High income
Tunisia,TUN,19.8,Africa,,12564689,80.8747,43.8,Upper middle income
Turkey,TUR,16.836,Europe,,86260417,110.0875,46.25,Upper middle income
Tanzania,TZA,39.518,Africa,,69419073,78.3688,4.4,Low income
Uganda,UGA,43.474,Africa,,49924252,248.9739,16.2,Low income
Ukraine,UKR,11.1,Europe,,37937821,65.4778,41,Lower middle income
Uruguay,URY,14.374,South America,,3423316,19.5596,57.69,High income
United States,USA,12.5,North America,,341814420,37.3673,84.2,High income
Uzbekistan,UZB,22.5,Asia,,35673804,80.9572,38.2,Lower middle income
St. Vincent and the Grenadines,VCT,16.306,North America,,103683,265.8538,52,Upper middle income
Venezuela,VEN,19.842,South America,,29395334,33.3262,54.9,High income
United States,VIR,10.7,North America,,341814420,37.3673,84.2,High income
Vietnam,VNM,15.537,Asia,,99497680,317.4489,43.9,Lower middle income
Vanuatu,VUT,26.739,Oceania,,342325,28.0824,11.3,Lower middle income
Palestine,PSE,30.394,Asia,,5494963,912.7846,46.6,Lower middle income
Samoa,WSM,26.172,Oceania,,228966,82.3619,15.3,Lower middle income
Yemen,YEM,32.947,Asia,,35219853,66.7081,20,Lower middle income
South Africa,ZAF,20.85,Africa,,61020221,50.3015,46.5,Upper middle income
Zambia,ZMB,40.471,Africa,,21134695,28.4302,15.4,Lower middle income
Zimbabwe,ZWE,35.715,Africa,,17020321,43.9972,18.5,Low income
